team,fifa_rank
Mexico,15
South Africa,61
South Korea,22
Czech Republic,44
Canada,27
Bosnia and Herzegovina,71
Qatar,51
Switzerland,17
Brazil,5
Morocco,11
Haiti,84
Scotland,36
United States,14
Paraguay,39
Australia,26
Turkey,25
Germany,9
Curacao,82
Ivory Coast,42
Ecuador,23
Netherlands,7
Japan,18
Sweden,43
Tunisia,40
Belgium,8
Egypt,34
Iran,20
New Zealand,86
Spain,1
Cape Verde,68
Saudi Arabia,60
Uruguay,16
France,3
Senegal,19
Iraq,58
Norway,29
Argentina,2
Algeria,35
Austria,24
Jordan,66
Portugal,6
DR Congo,56
Uzbekistan,50
Colombia,13
England,4
Croatia,10
Ghana,72
Panama,30
